eof_ts-msl-12,eof_ts-msl-13,eof_ts-msl-14,eof_ts-msl-15,eof_ts-msl-16,eof_ts-msl-17,eof_ts-msl-19,eof_ts-msl-20,eof_ts-msl-21,eof_ts-msl-22,eof_ts-msl-26,eof_ts-msl-28,eof_ts-msl-4,eof_ts-msl-5,eof_ts-msl-6,eof_ts-si10-10,eof_ts-si10-11,eof_ts-si10-12,eof_ts-si10-14,eof_ts-si10-16,eof_ts-si10-19,eof_ts-si10-2,eof_ts-si10-26,eof_ts-si10-28,eof_ts-si10-7,eof_ts-si10-8,eof_ts-sst-12,eof_ts-sst-14,eof_ts-sst-15,eof_ts-sst-16,eof_ts-sst-17,eof_ts-sst-19,eof_ts-sst-2,eof_ts-sst-21,eof_ts-sst-22,eof_ts-sst-27,eof_ts-sst-7,eof_ts-t2m-10,eof_ts-t2m-11,eof_ts-t2m-12,eof_ts-t2m-14,eof_ts-t2m-15,eof_ts-t2m-16,eof_ts-t2m-17,eof_ts-t2m-18,eof_ts-t2m-19,eof_ts-t2m-20,eof_ts-t2m-21,eof_ts-t2m-22,eof_ts-t2m-23,eof_ts-t2m-24,eof_ts-t2m-25,eof_ts-t2m-26,eof_ts-t2m-27,eof_ts-t2m-28,eof_ts-t2m-29,eof_ts-t2m-6,eof_ts-t2m-7,eof_ts-t2m-8,eof_ts-t2m-9
0.3553643,0.9979965,-0.9605352,0.007638313,-0.1064263,0.1577699,1.968922,0.05404037,-0.08888229,0.6364444,0.7006811,1.123931,0.1477951,0.4488336,0.1597268,1.35667,1.197589,-0.4654381,-0.3131502,-0.2882874,1.435237,-1.172868,-0.157418,0.1834124,-0.4528582,-0.4796536,-1.241074,0.4101664,0.536006,1.388744,0.8158672,0.8098748,1.003527,-1.031852,-0.9937018,-1.236091,0.6138349,1.562793,0.3695522,0.9523782,-0.8737797,-1.507367,1.502954,-0.9949589,-1.055125,1.361074,-2.009294,-1.202049,0.8284543,1.332363,0.5267202,1.493084,-0.9725816,-1.099293,-1.051812,1.49943,-1.434684,-1.192856,-0.3370372,1.70206
0.9233558,2.138091,0.1164575,0.8144285,-0.7510506,1.263511,-0.4185254,0.2890854,0.1639347,0.4589375,0.07359913,0.3882077,-0.5456604,0.2903157,-1.471492,1.120201,0.4844919,-1.325629,-1.196532,-1.08681,3.103738,-1.304014,-0.3238727,0.4372974,-0.5139766,0.1534982,-1.360584,0.6278815,0.862919,1.734717,1.044854,0.7726036,1.174699,-0.9438674,-2.030484,-1.140802,0.9148545,1.153822,0.9518223,1.250503,-1.385939,-1.13044,1.439577,-1.242148,-1.215002,1.386345,-1.235093,-1.162392,0.7361421,1.580557,-0.611866,1.060865,-1.070134,-1.14812,-0.9211105,1.391912,-2.006525,-1.460049,0.5886904,1.705038
-0.5634351,-0.6229892,0.4881847,1.171638,-0.5742706,0.3220311,0.6482268,-0.5276922,1.027182,1.063039,0.6054597,-0.6434585,-0.895613,0.8971911,-0.5227293,1.046496,0.8073128,-0.5910286,-0.1380471,-0.8071359,-0.5279691,-1.29573,-0.8139738,0.5863318,-0.8521237,0.1330274,-1.148241,0.6980567,0.9905021,0.9564905,1.175818,0.8238511,1.205407,-0.8633867,-1.630631,-0.9534275,0.7559214,0.3853153,0.8001822,0.7411013,-1.034745,-0.6968637,0.8720498,-0.8123851,-0.7505354,0.6807327,1.766783,-0.7162275,0.5880439,0.7894,-0.2450891,0.5630212,-0.5676119,-0.7716885,-0.8975478,0.7919499,-0.7944227,-0.9439945,0.5451637,0.9381429
0.5927833,-0.1674466,0.2171094,0.656642,1.015531,0.4551995,1.176402,-0.6237254,-0.5672562,0.1583835,-2.026,-1.220807,-0.8038893,0.8649709,-1.022959,-0.8782949,1.180611,-0.8485215,-0.6049182,-0.3186537,-0.2247343,-0.8058243,0.01611502,0.8576159,-0.192334,-0.6944615,-0.4999492,0.5690868,1.35665,0.6431521,1.067979,0.7867744,1.02399,-0.579231,-0.6968963,-0.8492073,-0.0120617,-0.1677565,0.1871303,0.2297543,-0.3344775,-0.06818034,0.1170871,-0.09674529,-0.1154068,0.02899591,0.5952707,0.04978188,0.1584008,0.1054901,-0.9538626,-0.1043879,0.05700523,0.05346143,-0.2550653,-0.05669868,-0.05574467,-0.3524775,1.75365,0.3390692
-1.409673,-0.7461985,0.6037959,-0.4158494,0.5711938,-0.07114623,0.431227,-0.3651526,0.7502501,-1.093262,1.157727,-0.3634363,0.9819996,-0.1321095,-0.1159444,-0.6437435,0.1266387,0.6205545,0.7560292,0.4175683,-1.102279,0.05873276,0.2523582,-0.4567996,0.8157936,-0.6262029,0.1803687,0.5410825,1.260265,-0.1701171,0.9364029,0.50186,0.5649468,0.04996434,0.3091815,-0.4115807,-1.0702,-0.9474993,-0.7899238,-0.7403172,0.6582472,0.7160571,-0.6214883,0.6388488,0.6822638,-0.6243802,1.040125,0.7145305,-0.7918701,-0.573287,-0.9685982,-0.5758526,0.5160358,0.7700413,0.81366,-0.558857,0.6378328,0.5571303,-1.176173,-0.6004227
-0.8078816,-1.10659,0.6911176,-0.7825477,0.776913,-1.042038,-1.18467,-0.4389549,-0.3930278,-1.864783,-0.9090286,-0.4225703,1.24176,1.436865,-0.5558175,-0.3375835,-1.470111,1.218026,1.630675,1.076903,-0.7588112,0.8087555,1.330195,-1.795037,1.718621,-0.2642026,1.035034,-0.561798,0.4921426,-0.7942436,0.1183128,-0.367203,-0.2751295,1.045645,0.559495,0.435976,-1.879485,-1.292903,-1.362722,-1.399999,1.276855,1.323495,-1.327562,1.228446,1.302786,-1.117968,0.6405348,1.212909,-1.23406,-1.171112,-1.594027,-1.242666,1.249429,1.181663,1.036212,-1.089403,1.214701,1.235456,-1.725277,-1.177835
-0.03844811,-1.246241,-0.5733958,0.3366011,1.042282,-0.5341948,-0.5007656,-0.5874509,1.131556,0.09332443,-0.5021114,-0.5195261,-0.2678415,0.4979369,-0.7455708,-1.1461,-0.811341,1.433427,1.356565,1.878018,-0.6998194,1.142281,1.359881,-1.695298,1.318236,-0.2798627,1.296323,-1.336149,-0.5141837,-1.696246,-0.8868307,-1.275657,-1.146831,1.4863,0.146486,1.057085,-1.916694,-1.280955,-1.519257,-1.656119,1.516865,1.493382,-1.454551,1.513433,1.543124,-1.461886,0.01041111,1.444564,-1.5542,-1.501979,-1.224442,-1.420884,1.339579,1.348982,1.362838,-1.527465,1.579605,1.532975,-0.7606492,-1.567101
0.6028655,-0.7490591,0.09702163,0.4564047,0.3492382,-0.0652749,0.1892056,1.294647,1.724904,1.025815,-1.214281,-0.6867613,-1.342164,-1.401036,-0.4394875,-0.8507275,-0.8101357,1.965647,0.1746703,1.031595,-0.8653182,1.380044,1.419733,-0.6517598,0.4395842,-0.2450625,1.222411,-2.238148,-1.370202,-1.182966,-1.354011,-1.953099,-1.714192,1.527865,-0.7698246,1.531773,-1.544639,-0.9450412,-1.468685,-1.307498,1.355886,1.283743,-1.247077,1.412485,1.581428,-1.486929,-0.4965645,1.33558,-1.536216,-1.343413,-1.214262,-1.370619,1.549295,1.335914,1.248029,-1.485006,1.358158,1.418335,0.1355233,-1.315475
-0.06610084,-0.3864655,-1.421092,-1.321649,0.002764857,-0.1765261,-0.6146228,-0.2625107,0.7122805,0.5949479,-0.2658382,-1.558319,0.1993873,-0.3383209,0.6493737,-0.3550853,-1.223513,1.389602,0.3536567,1.089785,-1.763591,1.299066,0.8552423,-0.852533,0.9318339,-0.04718387,0.8897625,-2.501151,-1.033929,-0.9921117,-1.033835,-1.604067,-1.453041,1.019645,-0.7176999,0.760624,-1.410278,-0.508535,-0.9350832,-1.193451,0.9075886,0.862129,-0.8437701,0.9267489,0.9667184,-1.211459,-0.4300449,0.8364074,-1.006297,-0.9880482,-1.06516,-0.7868042,0.9846674,0.8942521,0.8583974,-1.041641,0.9487643,0.9718331,0.009737623,-0.9528256
0.2499784,0.7264675,-1.28261,-0.2744343,-0.996719,-0.6586036,-0.1067395,1.172848,-0.1075179,0.08945608,-1.442589,-0.8316659,-0.02119414,-0.5739599,1.438416,-0.9628794,-0.01092664,-0.2403977,0.5150604,0.08074599,-0.2288381,0.7123992,-0.4748702,-1.021278,0.009607465,-0.03774833,0.4453059,-1.628682,-0.781094,-1.056905,-0.2180006,-0.6121952,-0.674609,0.02015689,0.7082482,0.03691523,-1.129859,0.09261427,-0.2479149,-0.3865454,0.1200214,0.1867516,-0.03617296,0.3010237,0.3924708,-0.6545981,-1.78171,0.4334024,-0.3061154,-0.3809895,-0.780389,-0.3426052,0.3801512,0.297918,0.1079481,-0.4503927,0.382146,0.2224207,0.4181525,-0.03738273
