! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  1.000
!    DOWNWELLING FLUX:   Z=  0.000
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.000   0.000    0.17702E-01   0.74599E-01   0.98853E+00
   0.000   0.100    0.17910E-01   0.79729E-01   0.97564E+00
   0.000   0.200    0.18376E-01   0.91187E-01   0.95252E+00
   0.000   0.300    0.19089E-01   0.10898E+00   0.91517E+00
   0.000   0.400    0.20013E-01   0.13195E+00   0.86148E+00
   0.000   0.500    0.21067E-01   0.15769E+00   0.79335E+00
   0.000   0.600    0.22142E-01   0.18295E+00   0.71764E+00
   0.000   0.700    0.23124E-01   0.20466E+00   0.64467E+00
   0.000   0.800    0.23908E-01   0.22079E+00   0.58493E+00
   0.000   0.900    0.24412E-01   0.23052E+00   0.54632E+00
   0.000   1.000    0.24586E-01   0.23375E+00   0.53302E+00
   0.000   1.100    0.24412E-01   0.23052E+00   0.54632E+00
   0.000   1.200    0.23908E-01   0.22079E+00   0.58493E+00
   0.000   1.300    0.23124E-01   0.20466E+00   0.64467E+00
   0.000   1.400    0.22142E-01   0.18295E+00   0.71764E+00
   0.000   1.500    0.21067E-01   0.15769E+00   0.79335E+00
   0.000   1.600    0.20013E-01   0.13195E+00   0.86148E+00
   0.000   1.700    0.19089E-01   0.10898E+00   0.91517E+00
   0.000   1.800    0.18376E-01   0.91187E-01   0.95252E+00
   0.000   1.900    0.17910E-01   0.79729E-01   0.97564E+00
   0.100   0.000    0.18065E-01   0.67631E-01   0.99188E+00
   0.100   0.100    0.18298E-01   0.71685E-01   0.98272E+00
   0.100   0.200    0.18824E-01   0.80740E-01   0.96620E+00
   0.100   0.300    0.19639E-01   0.94933E-01   0.93927E+00
   0.100   0.400    0.20697E-01   0.11346E+00   0.89997E+00
   0.100   0.500    0.21907E-01   0.13457E+00   0.84906E+00
   0.100   0.600    0.23148E-01   0.15577E+00   0.79094E+00
   0.100   0.700    0.24287E-01   0.17451E+00   0.73320E+00
   0.100   0.800    0.25199E-01   0.18886E+00   0.68452E+00
   0.100   0.900    0.25788E-01   0.19774E+00   0.65224E+00
   0.100   1.000    0.25991E-01   0.20073E+00   0.64096E+00
   0.100   1.100    0.25788E-01   0.19774E+00   0.65224E+00
   0.100   1.200    0.25199E-01   0.18886E+00   0.68452E+00
   0.100   1.300    0.24287E-01   0.17451E+00   0.73320E+00
   0.100   1.400    0.23148E-01   0.15577E+00   0.79094E+00
   0.100   1.500    0.21907E-01   0.13457E+00   0.84906E+00
   0.100   1.600    0.20697E-01   0.11346E+00   0.89997E+00
   0.100   1.700    0.19639E-01   0.94933E-01   0.93927E+00
   0.100   1.800    0.18824E-01   0.80740E-01   0.96620E+00
   0.100   1.900    0.18298E-01   0.71685E-01   0.98272E+00
   0.200   0.000    0.18444E-01   0.61646E-01   0.99458E+00
   0.200   0.100    0.18712E-01   0.64838E-01   0.98846E+00
   0.200   0.200    0.19332E-01   0.72024E-01   0.97736E+00
   0.200   0.300    0.20298E-01   0.83370E-01   0.95912E+00
   0.200   0.400    0.21561E-01   0.98346E-01   0.93220E+00
   0.200   0.500    0.23018E-01   0.11567E+00   0.89674E+00
   0.200   0.600    0.24525E-01   0.13342E+00   0.85537E+00
   0.200   0.700    0.25921E-01   0.14951E+00   0.81326E+00
   0.200   0.800    0.27051E-01   0.16214E+00   0.77688E+00
   0.200   0.900    0.27786E-01   0.17013E+00   0.75227E+00
   0.200   1.000    0.28041E-01   0.17286E+00   0.74358E+00
   0.200   1.100    0.27786E-01   0.17013E+00   0.75227E+00
   0.200   1.200    0.27051E-01   0.16214E+00   0.77688E+00
   0.200   1.300    0.25921E-01   0.14951E+00   0.81326E+00
   0.200   1.400    0.24525E-01   0.13342E+00   0.85537E+00
   0.200   1.500    0.23018E-01   0.11567E+00   0.89674E+00
   0.200   1.600    0.21561E-01   0.98346E-01   0.93220E+00
   0.200   1.700    0.20298E-01   0.83370E-01   0.95912E+00
   0.200   1.800    0.19332E-01   0.72024E-01   0.97736E+00
   0.200   1.900    0.18712E-01   0.64838E-01   0.98846E+00
   0.300   0.000    0.18821E-01   0.57054E-01   0.99652E+00
   0.300   0.100    0.19133E-01   0.59714E-01   0.99260E+00
   0.300   0.200    0.19877E-01   0.65717E-01   0.98545E+00
   0.300   0.300    0.21042E-01   0.75254E-01   0.97365E+00
   0.300   0.400    0.22575E-01   0.87988E-01   0.95607E+00
   0.300   0.500    0.24357E-01   0.10294E+00   0.93264E+00
   0.300   0.600    0.26221E-01   0.11857E+00   0.90489E+00
   0.300   0.700    0.27966E-01   0.13306E+00   0.87611E+00
   0.300   0.800    0.29392E-01   0.14470E+00   0.85085E+00
   0.300   0.900    0.30325E-01   0.15220E+00   0.83351E+00
   0.300   1.000    0.30650E-01   0.15479E+00   0.82733E+00
   0.300   1.100    0.30325E-01   0.15220E+00   0.83351E+00
   0.300   1.200    0.29392E-01   0.14470E+00   0.85085E+00
   0.300   1.300    0.27966E-01   0.13306E+00   0.87611E+00
   0.300   1.400    0.26221E-01   0.11857E+00   0.90489E+00
   0.300   1.500    0.24357E-01   0.10294E+00   0.93264E+00
   0.300   1.600    0.22575E-01   0.87988E-01   0.95607E+00
   0.300   1.700    0.21042E-01   0.75254E-01   0.97365E+00
   0.300   1.800    0.19877E-01   0.65717E-01   0.98545E+00
   0.300   1.900    0.19133E-01   0.59714E-01   0.99260E+00
   0.400   0.000    0.19168E-01   0.54278E-01   0.99768E+00
   0.400   0.100    0.19535E-01   0.56719E-01   0.99507E+00
   0.400   0.200    0.20421E-01   0.62348E-01   0.99032E+00
   0.400   0.300    0.21824E-01   0.71360E-01   0.98243E+00
   0.400   0.400    0.23678E-01   0.83520E-01   0.97064E+00
   0.400   0.500    0.25848E-01   0.98020E-01   0.95478E+00
   0.400   0.600    0.28135E-01   0.11347E+00   0.93584E+00
   0.400   0.700    0.30294E-01   0.12809E+00   0.91599E+00
   0.400   0.800    0.32069E-01   0.14009E+00   0.89836E+00
   0.400   0.900    0.33236E-01   0.14793E+00   0.88618E+00
   0.400   1.000    0.33644E-01   0.15067E+00   0.88181E+00
   0.400   1.100    0.33236E-01   0.14793E+00   0.88618E+00
   0.400   1.200    0.32069E-01   0.14009E+00   0.89836E+00
   0.400   1.300    0.30294E-01   0.12809E+00   0.91599E+00
   0.400   1.400    0.28135E-01   0.11347E+00   0.93584E+00
   0.400   1.500    0.25848E-01   0.98020E-01   0.95478E+00
   0.400   1.600    0.23678E-01   0.83520E-01   0.97064E+00
   0.400   1.700    0.21824E-01   0.71360E-01   0.98243E+00
   0.400   1.800    0.20421E-01   0.62348E-01   0.99032E+00
   0.400   1.900    0.19535E-01   0.56719E-01   0.99507E+00
   0.500   0.000    0.19453E-01   0.53547E-01   0.99807E+00
   0.500   0.100    0.19880E-01   0.56176E-01   0.99589E+00
   0.500   0.200    0.20921E-01   0.62322E-01   0.99194E+00
   0.500   0.300    0.22578E-01   0.72237E-01   0.98537E+00
   0.500   0.400    0.24779E-01   0.85734E-01   0.97553E+00
   0.500   0.500    0.27366E-01   0.10202E+00   0.96227E+00
   0.500   0.600    0.30105E-01   0.11961E+00   0.94635E+00
   0.500   0.700    0.32701E-01   0.13651E+00   0.92964E+00
   0.500   0.800    0.34842E-01   0.15054E+00   0.91475E+00
   0.500   0.900    0.36255E-01   0.15982E+00   0.90443E+00
   0.500   1.000    0.36749E-01   0.16306E+00   0.90072E+00
   0.500   1.100    0.36255E-01   0.15982E+00   0.90443E+00
   0.500   1.200    0.34842E-01   0.15054E+00   0.91475E+00
   0.500   1.300    0.32701E-01   0.13651E+00   0.92964E+00
   0.500   1.400    0.30105E-01   0.11961E+00   0.94635E+00
   0.500   1.500    0.27366E-01   0.10202E+00   0.96227E+00
   0.500   1.600    0.24779E-01   0.85734E-01   0.97553E+00
   0.500   1.700    0.22578E-01   0.72237E-01   0.98537E+00
   0.500   1.800    0.20921E-01   0.62322E-01   0.99194E+00
   0.500   1.900    0.19880E-01   0.56176E-01   0.99589E+00
   0.600   0.000    0.19640E-01   0.55044E-01   0.99769E+00
   0.600   0.100    0.20125E-01   0.58249E-01   0.99508E+00
   0.600   0.200    0.21321E-01   0.65850E-01   0.99033E+00
   0.600   0.300    0.23226E-01   0.78126E-01   0.98245E+00
   0.600   0.400    0.25762E-01   0.94893E-01   0.97067E+00
   0.600   0.500    0.28750E-01   0.11521E+00   0.95482E+00
   0.600   0.600    0.31917E-01   0.13724E+00   0.93590E+00
   0.600   0.700    0.34923E-01   0.15847E+00   0.91607E+00
   0.600   0.800    0.37406E-01   0.17613E+00   0.89845E+00
   0.600   0.900    0.39046E-01   0.18780E+00   0.88629E+00
   0.600   1.000    0.39619E-01   0.19188E+00   0.88193E+00
   0.600   1.100    0.39046E-01   0.18780E+00   0.88629E+00
   0.600   1.200    0.37406E-01   0.17613E+00   0.89845E+00
   0.600   1.300    0.34923E-01   0.15847E+00   0.91607E+00
   0.600   1.400    0.31917E-01   0.13724E+00   0.93590E+00
   0.600   1.500    0.28750E-01   0.11521E+00   0.95482E+00
   0.600   1.600    0.25762E-01   0.94893E-01   0.97067E+00
   0.600   1.700    0.23226E-01   0.78126E-01   0.98245E+00
   0.600   1.800    0.21321E-01   0.65850E-01   0.99033E+00
   0.600   1.900    0.20125E-01   0.58249E-01   0.99508E+00
   0.700   0.000    0.19699E-01   0.58756E-01   0.99652E+00
   0.700   0.100    0.20234E-01   0.62909E-01   0.99261E+00
   0.700   0.200    0.21565E-01   0.72827E-01   0.98547E+00
   0.700   0.300    0.23684E-01   0.88796E-01   0.97368E+00
   0.700   0.400    0.26502E-01   0.11052E+00   0.95613E+00
   0.700   0.500    0.29822E-01   0.13672E+00   0.93273E+00
   0.700   0.600    0.33342E-01   0.16494E+00   0.90501E+00
   0.700   0.700    0.36681E-01   0.19189E+00   0.87627E+00
   0.700   0.800    0.39440E-01   0.21408E+00   0.85103E+00
   0.700   0.900    0.41262E-01   0.22864E+00   0.83371E+00
   0.700   1.000    0.41899E-01   0.23370E+00   0.82754E+00
   0.700   1.100    0.41262E-01   0.22864E+00   0.83371E+00
   0.700   1.200    0.39440E-01   0.21408E+00   0.85103E+00
   0.700   1.300    0.36681E-01   0.19189E+00   0.87627E+00
   0.700   1.400    0.33342E-01   0.16494E+00   0.90501E+00
   0.700   1.500    0.29822E-01   0.13672E+00   0.93273E+00
   0.700   1.600    0.26502E-01   0.11052E+00   0.95613E+00
   0.700   1.700    0.23684E-01   0.88796E-01   0.97368E+00
   0.700   1.800    0.21565E-01   0.72827E-01   0.98547E+00
   0.700   1.900    0.20234E-01   0.62909E-01   0.99261E+00
   0.800   0.000    0.19611E-01   0.64448E-01   0.99458E+00
   0.800   0.100    0.20181E-01   0.69861E-01   0.98847E+00
   0.800   0.200    0.21609E-01   0.82769E-01   0.97739E+00
   0.800   0.300    0.23878E-01   0.10342E+00   0.95917E+00
   0.800   0.400    0.26888E-01   0.13125E+00   0.93228E+00
   0.800   0.500    0.30429E-01   0.16438E+00   0.89687E+00
   0.800   0.600    0.34179E-01   0.19951E+00   0.85554E+00
   0.800   0.700    0.37735E-01   0.23241E+00   0.81348E+00
   0.800   0.800    0.40674E-01   0.25898E+00   0.77714E+00
   0.800   0.900    0.42613E-01   0.27611E+00   0.75255E+00
   0.800   1.000    0.43291E-01   0.28202E+00   0.74387E+00
   0.800   1.100    0.42613E-01   0.27611E+00   0.75255E+00
   0.800   1.200    0.40674E-01   0.25898E+00   0.77714E+00
   0.800   1.300    0.37735E-01   0.23241E+00   0.81348E+00
   0.800   1.400    0.34179E-01   0.19951E+00   0.85554E+00
   0.800   1.500    0.30429E-01   0.16438E+00   0.89687E+00
   0.800   1.600    0.26888E-01   0.13125E+00   0.93228E+00
   0.800   1.700    0.23878E-01   0.10342E+00   0.95917E+00
   0.800   1.800    0.21609E-01   0.82769E-01   0.97739E+00
   0.800   1.900    0.20181E-01   0.69861E-01   0.98847E+00
   0.900   0.000    0.19376E-01   0.71642E-01   0.99189E+00
   0.900   0.100    0.19963E-01   0.78506E-01   0.98274E+00
   0.900   0.200    0.21434E-01   0.94770E-01   0.96623E+00
   0.900   0.300    0.23765E-01   0.12055E+00   0.93934E+00
   0.900   0.400    0.26850E-01   0.15483E+00   0.90008E+00
   0.900   0.500    0.30473E-01   0.19488E+00   0.84922E+00
   0.900   0.600    0.34306E-01   0.23633E+00   0.79115E+00
   0.900   0.700    0.37941E-01   0.27407E+00   0.73346E+00
   0.900   0.800    0.40944E-01   0.30369E+00   0.68481E+00
   0.900   0.900    0.42927E-01   0.32234E+00   0.65255E+00
   0.900   1.000    0.43620E-01   0.32868E+00   0.64128E+00
   0.900   1.100    0.42927E-01   0.32234E+00   0.65255E+00
   0.900   1.200    0.40944E-01   0.30369E+00   0.68481E+00
   0.900   1.300    0.37941E-01   0.27407E+00   0.73346E+00
   0.900   1.400    0.34306E-01   0.23633E+00   0.79115E+00
   0.900   1.500    0.30473E-01   0.19488E+00   0.84922E+00
   0.900   1.600    0.26850E-01   0.15483E+00   0.90008E+00
   0.900   1.700    0.23765E-01   0.12055E+00   0.93934E+00
   0.900   1.800    0.21434E-01   0.94770E-01   0.96623E+00
   0.900   1.900    0.19963E-01   0.78506E-01   0.98274E+00
   1.000   0.000    0.19021E-01   0.79638E-01   0.98854E+00
   1.000   0.100    0.19602E-01   0.87980E-01   0.97567E+00
   1.000   0.200    0.21052E-01   0.10756E+00   0.95256E+00
   1.000   0.300    0.23348E-01   0.13826E+00   0.91525E+00
