! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  0.500    NXO=  20    NYO=  20
!    DOWNWELLING FLUX:   Z=  0.500
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.000   0.000    0.52925E-02   0.11878E-01   0.99904E+00
   0.100   0.000    0.52741E-02   0.10719E-01   0.99940E+00
   0.200   0.000    0.52957E-02   0.10018E-01   0.99935E+00
   0.300   0.000    0.53745E-02   0.99633E-02   0.99895E+00
   0.400   0.000    0.54995E-02   0.10484E-01   0.99817E+00
   0.500   0.000    0.56889E-02   0.11792E-01   0.99697E+00
   0.600   0.000    0.59151E-02   0.13834E-01   0.99532E+00
   0.700   0.000    0.61528E-02   0.16514E-01   0.99330E+00
   0.800   0.000    0.63697E-02   0.19574E-01   0.99110E+00
   0.900   0.000    0.65342E-02   0.22636E-01   0.98902E+00
   1.000   0.000    0.66237E-02   0.25240E-01   0.98741E+00
   1.100   0.000    0.66202E-02   0.26969E-01   0.98658E+00
   1.200   0.000    0.65372E-02   0.27584E-01   0.98669E+00
   1.300   0.000    0.63899E-02   0.27039E-01   0.98771E+00
   1.400   0.000    0.62027E-02   0.25494E-01   0.98944E+00
   1.500   0.000    0.60010E-02   0.23268E-01   0.99155E+00
   1.600   0.000    0.58055E-02   0.20708E-01   0.99371E+00
   1.700   0.000    0.56365E-02   0.18143E-01   0.99563E+00
   1.800   0.000    0.54904E-02   0.15782E-01   0.99717E+00
   1.900   0.000    0.53801E-02   0.13745E-01   0.99829E+00
   0.000   0.100    0.53900E-02   0.12821E-01   0.99794E+00
   0.100   0.100    0.53834E-02   0.11456E-01   0.99871E+00
   0.200   0.100    0.54407E-02   0.10902E-01   0.99863E+00
   0.300   0.100    0.55694E-02   0.11166E-01   0.99776E+00
   0.400   0.100    0.57750E-02   0.12385E-01   0.99610E+00
   0.500   0.100    0.60498E-02   0.14655E-01   0.99352E+00
   0.600   0.100    0.63762E-02   0.17997E-01   0.99003E+00
   0.700   0.100    0.67178E-02   0.22233E-01   0.98574E+00
   0.800   0.100    0.70264E-02   0.26922E-01   0.98108E+00
   0.900   0.100    0.72543E-02   0.31436E-01   0.97667E+00
   1.000   0.100    0.73654E-02   0.35070E-01   0.97327E+00
   1.100   0.100    0.73449E-02   0.37237E-01   0.97151E+00
   1.200   0.100    0.72011E-02   0.37610E-01   0.97174E+00
   1.300   0.100    0.69640E-02   0.36211E-01   0.97390E+00
   1.400   0.100    0.66740E-02   0.33374E-01   0.97755E+00
   1.500   0.100    0.63717E-02   0.29644E-01   0.98202E+00
   1.600   0.100    0.60884E-02   0.25584E-01   0.98659E+00
   1.700   0.100    0.58426E-02   0.21682E-01   0.99068E+00
   1.800   0.100    0.56443E-02   0.18238E-01   0.99397E+00
   1.900   0.100    0.54964E-02   0.15392E-01   0.99636E+00
   0.000   0.200    0.56432E-02   0.15225E-01   0.99596E+00
   0.100   0.200    0.56699E-02   0.13265E-01   0.99747E+00
   0.200   0.200    0.57999E-02   0.12774E-01   0.99730E+00
   0.300   0.200    0.60542E-02   0.13753E-01   0.99560E+00
   0.400   0.200    0.64375E-02   0.16360E-01   0.99232E+00
   0.500   0.200    0.69385E-02   0.20773E-01   0.98727E+00
   0.600   0.200    0.75209E-02   0.26971E-01   0.98041E+00
   0.700   0.200    0.81224E-02   0.34584E-01   0.97205E+00
   0.800   0.200    0.86593E-02   0.42794E-01   0.96298E+00
   0.900   0.200    0.90464E-02   0.50453E-01   0.95447E+00
   1.000   0.200    0.92184E-02   0.56343E-01   0.94793E+00
   1.100   0.200    0.91484E-02   0.59493E-01   0.94456E+00
   1.200   0.200    0.88558E-02   0.59433E-01   0.94500E+00
   1.300   0.200    0.83978E-02   0.56304E-01   0.94914E+00
   1.400   0.200    0.78517E-02   0.50776E-01   0.95618E+00
   1.500   0.200    0.72946E-02   0.43847E-01   0.96482E+00
   1.600   0.200    0.67843E-02   0.36543E-01   0.97370E+00
   1.700   0.200    0.63562E-02   0.29702E-01   0.98169E+00
   1.800   0.200    0.60250E-02   0.23848E-01   0.98813E+00
   1.900   0.200    0.57937E-02   0.19175E-01   0.99283E+00
   0.000   0.300    0.60829E-02   0.19225E-01   0.99266E+00
   0.100   0.300    0.61439E-02   0.16257E-01   0.99541E+00
   0.200   0.300    0.63971E-02   0.15876E-01   0.99508E+00
   0.300   0.300    0.68561E-02   0.18010E-01   0.99199E+00
   0.400   0.300    0.75320E-02   0.22901E-01   0.98604E+00
   0.500   0.300    0.84037E-02   0.30805E-01   0.97692E+00
   0.600   0.300    0.94092E-02   0.41633E-01   0.96459E+00
   0.700   0.300    0.10439E-01   0.54646E-01   0.94966E+00
   0.800   0.300    0.11352E-01   0.68391E-01   0.93359E+00
   0.900   0.300    0.12000E-01   0.80897E-01   0.91862E+00
   1.000   0.300    0.12272E-01   0.90197E-01   0.90716E+00
   1.100   0.300    0.12120E-01   0.94770E-01   0.90128E+00
   1.200   0.300    0.11581E-01   0.93987E-01   0.90205E+00
   1.300   0.300    0.10757E-01   0.88171E-01   0.90928E+00
   1.400   0.300    0.97871E-02   0.78491E-01   0.92159E+00
   1.500   0.300    0.88076E-02   0.66579E-01   0.93683E+00
   1.600   0.300    0.79234E-02   0.54167E-01   0.95260E+00
   1.700   0.300    0.71955E-02   0.42660E-01   0.96688E+00
   1.800   0.300    0.66470E-02   0.32926E-01   0.97848E+00
   1.900   0.300    0.62798E-02   0.25301E-01   0.98698E+00
   0.000   0.400    0.66773E-02   0.24786E-01   0.98769E+00
   0.100   0.400    0.68011E-02   0.20465E-01   0.99230E+00
   0.200   0.400    0.72266E-02   0.20307E-01   0.99175E+00
   0.300   0.400    0.79834E-02   0.24180E-01   0.98658E+00
   0.400   0.400    0.90789E-02   0.32426E-01   0.97663E+00
   0.500   0.400    0.10482E-01   0.45385E-01   0.96149E+00
   0.600   0.400    0.12091E-01   0.62774E-01   0.94116E+00
   0.700   0.400    0.13732E-01   0.83272E-01   0.91678E+00
   0.800   0.400    0.15178E-01   0.10446E+00   0.89085E+00
   0.900   0.400    0.16194E-01   0.12326E+00   0.86693E+00
   1.000   0.400    0.16601E-01   0.13678E+00   0.84883E+00
   1.100   0.400    0.16329E-01   0.14295E+00   0.83960E+00
   1.200   0.400    0.15436E-01   0.14104E+00   0.84080E+00
   1.300   0.400    0.14088E-01   0.13164E+00   0.85217E+00
   1.400   0.400    0.12513E-01   0.11647E+00   0.87168E+00
   1.500   0.400    0.10931E-01   0.97951E-01   0.89605E+00
   1.600   0.400    0.95140E-02   0.78647E-01   0.92156E+00
   1.700   0.400    0.83594E-02   0.60737E-01   0.94492E+00
   1.800   0.400    0.75026E-02   0.45620E-01   0.96405E+00
   1.900   0.400    0.69451E-02   0.33846E-01   0.97819E+00
   0.000   0.500    0.73887E-02   0.31723E-01   0.98095E+00
   0.100   0.500    0.75977E-02   0.25741E-01   0.98806E+00
   0.200   0.500    0.82534E-02   0.25984E-01   0.98723E+00
   0.300   0.500    0.93932E-02   0.32211E-01   0.97925E+00
   0.400   0.500    0.11034E-01   0.44887E-01   0.96396E+00
   0.500   0.500    0.13120E-01   0.64360E-01   0.94086E+00
   0.600   0.500    0.15503E-01   0.90006E-01   0.91016E+00
   0.700   0.500    0.17923E-01   0.11959E+00   0.87381E+00
   0.800   0.500    0.20041E-01   0.14940E+00   0.83572E+00
   0.900   0.500    0.21515E-01   0.17510E+00   0.80115E+00
   1.000   0.500    0.22083E-01   0.19289E+00   0.77534E+00
   1.100   0.500    0.21648E-01   0.20043E+00   0.76227E+00
   1.200   0.500    0.20296E-01   0.19700E+00   0.76395E+00
   1.300   0.500    0.18280E-01   0.18353E+00   0.78005E+00
   1.400   0.500    0.15934E-01   0.16221E+00   0.80795E+00
   1.500   0.500    0.13588E-01   0.13615E+00   0.84332E+00
   1.600   0.500    0.11493E-01   0.10879E+00   0.88088E+00
   1.700   0.500    0.97955E-02   0.83182E-01   0.91581E+00
   1.800   0.500    0.85473E-02   0.61455E-01   0.94475E+00
   1.900   0.500    0.77465E-02   0.44512E-01   0.96634E+00
   0.000   0.600    0.81514E-02   0.39504E-01   0.97281E+00
   0.100   0.600    0.84634E-02   0.31687E-01   0.98294E+00
   0.200   0.600    0.93911E-02   0.32503E-01   0.98176E+00
   0.300   0.600    0.10982E-01   0.41590E-01   0.97038E+00
   0.400   0.600    0.13253E-01   0.59457E-01   0.94875E+00
   0.500   0.600    0.16130E-01   0.86391E-01   0.91633E+00
   0.600   0.600    0.19400E-01   0.12115E+00   0.87378E+00
   0.700   0.600    0.22703E-01   0.16029E+00   0.82420E+00
   0.800   0.600    0.25579E-01   0.19864E+00   0.77320E+00
   0.900   0.600    0.27558E-01   0.23061E+00   0.72773E+00
   1.000   0.600    0.28290E-01   0.25184E+00   0.69438E+00
   1.100   0.600    0.27650E-01   0.26006E+00   0.67768E+00
   1.200   0.600    0.25767E-01   0.25487E+00   0.67985E+00
   1.300   0.600    0.22987E-01   0.23752E+00   0.70046E+00
   1.400   0.600    0.19771E-01   0.21045E+00   0.73666E+00
   1.500   0.600    0.16559E-01   0.17713E+00   0.78329E+00
   1.600   0.600    0.13698E-01   0.14166E+00   0.83378E+00
   1.700   0.600    0.11384E-01   0.10800E+00   0.88156E+00
   1.800   0.600    0.96884E-02   0.79110E-01   0.92177E+00
   1.900   0.600    0.86101E-02   0.56440E-01   0.95212E+00
   0.000   0.700    0.88800E-02   0.47254E-01   0.96418E+00
   0.100   0.700    0.93034E-02   0.37649E-01   0.97748E+00
   0.200   0.700    0.10515E-01   0.39155E-01   0.97592E+00
   0.300   0.700    0.12572E-01   0.51248E-01   0.96100E+00
   0.400   0.700    0.15492E-01   0.74459E-01   0.93275E+00
   0.500   0.700    0.19175E-01   0.10885E+00   0.89081E+00
   0.600   0.700    0.23342E-01   0.15234E+00   0.83651E+00
   0.700   0.700    0.27534E-01   0.20017E+00   0.77427E+00
   0.800   0.700    0.31155E-01   0.24560E+00   0.71148E+00
   0.900   0.700    0.33615E-01   0.28212E+00   0.65670E+00
   1.000   0.700    0.34486E-01   0.30535E+00   0.61716E+00
   1.100   0.700    0.33620E-01   0.31345E+00   0.59760E+00
   1.200   0.700    0.31196E-01   0.30658E+00   0.60012E+00
   1.300   0.700    0.27652E-01   0.28620E+00   0.62431E+00
   1.400   0.700    0.23564E-01   0.25466E+00   0.66736E+00
   1.500   0.700    0.19496E-01   0.21549E+00   0.72384E+00
   1.600   0.700    0.15871E-01   0.17308E+00   0.78620E+00
   1.700   0.700    0.12941E-01   0.13214E+00   0.84638E+00
   1.800   0.700    0.10797E-01   0.96499E-01   0.89781E+00
   1.900   0.700    0.94394E-02   0.68263E-01   0.93713E+00
   0.000   0.800    0.94838E-02   0.53891E-01   0.95642E+00
   0.100   0.800    0.10009E-01   0.42787E-01   0.97257E+00
   0.200   0.800    0.11475E-01   0.44961E-01   0.97067E+00
   0.300   0.800    0.13945E-01   0.59749E-01   0.95257E+00
   0.400   0.800    0.17436E-01   0.87625E-01   0.91850E+00
   0.500   0.800    0.21821E-01   0.12834E+00   0.86830E+00
   0.600   0.800    0.26764E-01   0.17898E+00   0.80408E+00
   0.700   0.800    0.31712E-01   0.23342E+00   0.73160E+00
   0.800   0.800    0.35960E-01   0.28371E+00   0.65984E+00
   0.900   0.800    0.38819E-01   0.32285E+00   0.59834E+00
   1.000   0.800    0.39789E-01   0.34671E+00   0.55463E+00
   1.100   0.800    0.38711E-01   0.35414E+00   0.53324E+00
   1.200   0.800    0.35809E-01   0.34588E+00   0.53600E+00
   1.300   0.800    0.31609E-01   0.32355E+00   0.56250E+00
   1.400   0.800    0.26784E-01   0.28926E+00   0.61018E+00
   1.500   0.800    0.21987E-01   0.24618E+00   0.67383E+00
   1.600   0.800    0.17713E-01   0.19879E+00   0.74542E+00
   1.700   0.800    0.14257E-01   0.15226E+00   0.81569E+00
   1.800   0.800    0.11727E-01   0.11118E+00   0.87665E+00
   1.900   0.800    0.10128E-01   0.78325E-01   0.92375E+00
   0.000   0.900    0.98830E-02   0.58375E-01   0.95101E+00
   0.100   0.900    0.10480E-01   0.46274E-01   0.96913E+00
   0.200   0.900    0.12124E-01   0.48939E-01   0.96700E+00
   0.300   0.900    0.14880E-01   0.65599E-01   0.94669E+00
   0.400   0.900    0.18764E-01   0.96666E-01   0.90860E+00
   0.500   0.900    0.23629E-01   0.14161E+00   0.85281E+00
   0.600   0.900    0.29100E-01   0.19685E+00   0.78202E+00
   0.700   0.900    0.34553E-01   0.25526E+00   0.70307E+00
   0.800   0.900    0.39220E-01   0.30823E+00   0.62581E+00
   0.900   0.900    0.42335E-01   0.34846E+00   0.56046E+00
   1.000   0.900    0.43359E-01   0.37223E+00   0.51451E+00
   1.100   0.900    0.42129E-01   0.37896E+00   0.49214E+00
   1.200   0.900    0.38900E-01   0.36983E+00   0.49500E+00
   1.300   0.900    0.34256E-01   0.34649E+00   0.52273E+00
   1.400   0.900    0.28941E-01   0.31086E+00   0.57299E+00
   1.500   0.900    0.23656E-01   0.26573E+00   0.64080E+00
   1.600   0.900    0.18947E-01   0.21548E+00   0.71802E+00
   1.700   0.900    0.15136E-01   0.16553E+00   0.79478E+00
