! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=FLUX                
!   X       Y       Z           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.000   0.000   0.000    0.00000E+00   0.74599E-01   0.98853E+00
   0.000   0.000   0.100    0.66598E-04   0.58999E-01   0.99189E+00
   0.000   0.000   0.200    0.42258E-03   0.44379E-01   0.99462E+00
   0.000   0.000   0.300    0.13268E-02   0.31372E-01   0.99668E+00
   0.000   0.000   0.400    0.29856E-02   0.20425E-01   0.99811E+00
   0.000   0.000   0.500    0.52925E-02   0.11878E-01   0.99904E+00
   0.000   0.000   0.600    0.79373E-02   0.58906E-02   0.99957E+00
   0.000   0.000   0.700    0.10628E-01   0.23317E-02   0.99984E+00
   0.000   0.000   0.800    0.13195E-01   0.66477E-03   0.99996E+00
   0.000   0.000   0.900    0.15575E-01   0.93840E-04   0.99999E+00
   0.000   0.000   1.000    0.17702E-01   0.00000E+00   0.10000E+01
   0.000   0.100   0.000    0.00000E+00   0.79729E-01   0.97564E+00
   0.000   0.100   0.100    0.74726E-04   0.63342E-01   0.98274E+00
   0.000   0.100   0.200    0.44319E-03   0.47804E-01   0.98856E+00
   0.000   0.100   0.300    0.13679E-02   0.33854E-01   0.99294E+00
   0.000   0.100   0.400    0.30509E-02   0.22050E-01   0.99599E+00
   0.000   0.100   0.500    0.53900E-02   0.12821E-01   0.99794E+00
   0.000   0.100   0.600    0.80734E-02   0.63680E-02   0.99909E+00
   0.000   0.100   0.700    0.10801E-01   0.25391E-02   0.99967E+00
   0.000   0.100   0.800    0.13396E-01   0.73912E-03   0.99990E+00
   0.000   0.100   0.900    0.15787E-01   0.11163E-03   0.99998E+00
   0.000   0.100   1.000    0.17910E-01   0.00000E+00   0.10000E+01
   0.000   0.200   0.000    0.00000E+00   0.91187E-01   0.95252E+00
   0.000   0.200   0.100    0.92303E-04   0.73350E-01   0.96623E+00
   0.000   0.200   0.200    0.48704E-03   0.55931E-01   0.97755E+00
   0.000   0.200   0.300    0.14641E-02   0.39917E-01   0.98611E+00
   0.000   0.200   0.400    0.32166E-02   0.26126E-01   0.99210E+00
   0.000   0.200   0.500    0.56432E-02   0.15225E-01   0.99596E+00
   0.000   0.200   0.600    0.84274E-02   0.75814E-02   0.99820E+00
   0.000   0.200   0.700    0.11245E-01   0.30448E-02   0.99934E+00
   0.000   0.200   0.800    0.13892E-01   0.90039E-03   0.99981E+00
   0.000   0.200   0.900    0.16287E-01   0.15002E-03   0.99997E+00
   0.000   0.200   1.000    0.18376E-01   0.00000E+00   0.10000E+01
   0.000   0.300   0.000    0.00000E+00   0.10898E+00   0.91517E+00
   0.000   0.300   0.100    0.10742E-03   0.89098E-01   0.93934E+00
   0.000   0.300   0.200    0.54299E-03   0.68918E-01   0.95946E+00
   0.000   0.300   0.300    0.16051E-02   0.49761E-01   0.97483E+00
   0.000   0.300   0.400    0.34905E-02   0.32844E-01   0.98565E+00
   0.000   0.300   0.500    0.60829E-02   0.19225E-01   0.99266E+00
   0.000   0.300   0.600    0.90293E-02   0.95833E-02   0.99674E+00
   0.000   0.300   0.700    0.11968E-01   0.38540E-02   0.99880E+00
   0.000   0.300   0.800    0.14675E-01   0.11470E-02   0.99965E+00
   0.000   0.300   0.900    0.17063E-01   0.19679E-03   0.99993E+00
   0.000   0.300   1.000    0.19089E-01   0.00000E+00   0.10000E+01
   0.000   0.400   0.000    0.00000E+00   0.13195E+00   0.86148E+00
   0.000   0.400   0.100    0.12418E-03   0.10978E+00   0.90008E+00
   0.000   0.400   0.200    0.61185E-03   0.86274E-01   0.93275E+00
   0.000   0.400   0.300    0.17871E-02   0.63136E-01   0.95802E+00
   0.000   0.400   0.400    0.38561E-02   0.42094E-01   0.97598E+00
   0.000   0.400   0.500    0.66773E-02   0.24786E-01   0.98769E+00
   0.000   0.400   0.600    0.98415E-02   0.12375E-01   0.99453E+00
   0.000   0.400   0.700    0.12934E-01   0.49716E-02   0.99799E+00
   0.000   0.400   0.800    0.15709E-01   0.14778E-02   0.99942E+00
   0.000   0.400   0.900    0.18076E-01   0.25425E-03   0.99989E+00
   0.000   0.400   1.000    0.20013E-01   0.00000E+00   0.10000E+01
   0.000   0.500   0.000    0.00000E+00   0.15769E+00   0.79335E+00
   0.000   0.500   0.100    0.14234E-03   0.13350E+00   0.84922E+00
   0.000   0.500   0.200    0.69076E-03   0.10667E+00   0.89756E+00
   0.000   0.500   0.300    0.20015E-02   0.79222E-01   0.93559E+00
   0.000   0.500   0.400    0.42929E-02   0.53447E-01   0.96296E+00
   0.000   0.500   0.500    0.73887E-02   0.31723E-01   0.98095E+00
   0.000   0.500   0.600    0.10808E-01   0.15896E-01   0.99152E+00
   0.000   0.500   0.700    0.14072E-01   0.63856E-02   0.99688E+00
   0.000   0.500   0.800    0.16910E-01   0.18946E-02   0.99911E+00
   0.000   0.500   0.900    0.19240E-01   0.32438E-03   0.99984E+00
   0.000   0.500   1.000    0.21067E-01   0.00000E+00   0.10000E+01
   0.000   0.600   0.000    0.00000E+00   0.18295E+00   0.71764E+00
   0.000   0.600   0.100    0.16084E-03   0.15751E+00   0.79115E+00
   0.000   0.600   0.200    0.77375E-03   0.12797E+00   0.85650E+00
   0.000   0.600   0.300    0.22304E-02   0.96491E-01   0.90898E+00
   0.000   0.600   0.400    0.47624E-02   0.65938E-01   0.94735E+00
   0.000   0.600   0.500    0.81514E-02   0.39504E-01   0.97281E+00
   0.000   0.600   0.600    0.11840E-01   0.19901E-01   0.98787E+00
   0.000   0.600   0.700    0.15275E-01   0.80049E-02   0.99553E+00
   0.000   0.600   0.800    0.18164E-01   0.23765E-02   0.99872E+00
   0.000   0.600   0.900    0.20440E-01   0.40737E-03   0.99976E+00
   0.000   0.600   1.000    0.22142E-01   0.00000E+00   0.10000E+01
   0.000   0.700   0.000    0.00000E+00   0.20466E+00   0.64467E+00
   0.000   0.700   0.100    0.17772E-03   0.17890E+00   0.73346E+00
   0.000   0.700   0.200    0.85191E-03   0.14760E+00   0.81467E+00
   0.000   0.700   0.300    0.24491E-02   0.11292E+00   0.88137E+00
   0.000   0.700   0.400    0.52109E-02   0.78129E-01   0.93093E+00
   0.000   0.700   0.500    0.88800E-02   0.47254E-01   0.96418E+00
   0.000   0.700   0.600    0.12823E-01   0.23946E-01   0.98398E+00
   0.000   0.700   0.700    0.16416E-01   0.96595E-02   0.99409E+00
   0.000   0.700   0.800    0.19339E-01   0.28650E-02   0.99832E+00
   0.000   0.700   0.900    0.21550E-01   0.48827E-03   0.99969E+00
   0.000   0.700   1.000    0.23124E-01   0.00000E+00   0.10000E+01
   0.000   0.800   0.000    0.00000E+00   0.22079E+00   0.58493E+00
   0.000   0.800   0.100    0.19156E-03   0.19538E+00   0.68481E+00
   0.000   0.800   0.200    0.91636E-03   0.16324E+00   0.77853E+00
   0.000   0.800   0.300    0.26303E-02   0.12639E+00   0.85708E+00
   0.000   0.800   0.400    0.55830E-02   0.88381E-01   0.91628E+00
   0.000   0.800   0.500    0.94838E-02   0.53891E-01   0.95642E+00
   0.000   0.800   0.600    0.13639E-01   0.27458E-01   0.98048E+00
   0.000   0.800   0.700    0.17359E-01   0.11106E-01   0.99279E+00
   0.000   0.800   0.800    0.20301E-01   0.32974E-02   0.99794E+00
   0.000   0.800   0.900    0.22447E-01   0.56404E-03   0.99961E+00
   0.000   0.800   1.000    0.23908E-01   0.00000E+00   0.10000E+01
   0.000   0.900   0.000    0.00000E+00   0.23052E+00   0.54632E+00
   0.000   0.900   0.100    0.20046E-03   0.20562E+00   0.65255E+00
   0.000   0.900   0.200    0.95860E-03   0.17322E+00   0.75408E+00
   0.000   0.900   0.300    0.27498E-02   0.13520E+00   0.84040E+00
   0.000   0.900   0.400    0.58284E-02   0.95204E-01   0.90614E+00
   0.000   0.900   0.500    0.98830E-02   0.58375E-01   0.95101E+00
   0.000   0.900   0.600    0.14178E-01   0.29853E-01   0.97802E+00
   0.000   0.900   0.700    0.17981E-01   0.12098E-01   0.99187E+00
   0.000   0.900   0.800    0.20931E-01   0.35946E-02   0.99768E+00
   0.000   0.900   0.900    0.23029E-01   0.61463E-03   0.99957E+00
   0.000   0.900   1.000    0.24412E-01   0.00000E+00   0.10000E+01
   0.000   1.000   0.000    0.00000E+00   0.23375E+00   0.53302E+00
   0.000   1.000   0.100    0.20351E-03   0.20908E+00   0.64128E+00
   0.000   1.000   0.200    0.97346E-03   0.17665E+00   0.74543E+00
   0.000   1.000   0.300    0.27916E-02   0.13826E+00   0.83445E+00
   0.000   1.000   0.400    0.59143E-02   0.97600E-01   0.90250E+00
   0.000   1.000   0.500    0.10023E-01   0.59963E-01   0.94906E+00
   0.000   1.000   0.600    0.14367E-01   0.30706E-01   0.97713E+00
   0.000   1.000   0.700    0.18198E-01   0.12453E-01   0.99154E+00
