! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 15  M= 15  NLM=  256   NMU= 16  NPHI= 32  NANG=  354   NSH=   1239808
!  NX=  20   NY=  20   NZ=  11    NPTS=    4851   NCELLS=    4000
!  PROPERTY_FILE=gaussol.prp                     
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    EVEN (Z)             INDEPENDENT_PIXEL=0
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.7070000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON KM)      WAVELENGTH=      2.13
!  SPLITTING_ACCURACY= 0.000E+00   SPHERICAL_HARMONIC_ACCURACY= 0.000E+00
!  SOLUTION_ACCURACY= 0.100E-04
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=   7
!  OUTPUT_TYPE=NET_FLUX_DIV        
!    X       Y        Z       -DIV(Fnet)
   0.000   0.000   0.000    0.00000E+00
   0.000   0.000   0.100    0.18174E-04
   0.000   0.000   0.200    0.11997E-04
   0.000   0.000   0.300    0.27641E-04
   0.000   0.000   0.400    0.42968E-04
   0.000   0.000   0.500    0.50287E-04
   0.000   0.000   0.600    0.42174E-04
   0.000   0.000   0.700    0.26668E-04
   0.000   0.000   0.800    0.11402E-04
   0.000   0.000   0.900    0.17049E-04
   0.000   0.000   1.000    0.00000E+00
   0.000   0.100   0.000    0.18321E-04
   0.000   0.100   0.100    0.80846E-05
   0.000   0.100   0.200    0.27959E-04
   0.000   0.100   0.300    0.59228E-04
   0.000   0.100   0.400    0.93791E-04
   0.000   0.100   0.500    0.10838E-03
   0.000   0.100   0.600    0.92078E-04
   0.000   0.100   0.700    0.57187E-04
   0.000   0.100   0.800    0.26623E-04
   0.000   0.100   0.900    0.76127E-05
   0.000   0.100   1.000    0.17097E-04
   0.000   0.200   0.000    0.18162E-04
   0.000   0.200   0.100    0.16109E-04
   0.000   0.200   0.200    0.51910E-04
   0.000   0.200   0.300    0.11471E-03
   0.000   0.200   0.400    0.18413E-03
   0.000   0.200   0.500    0.21339E-03
   0.000   0.200   0.600    0.18070E-03
   0.000   0.200   0.700    0.11075E-03
   0.000   0.200   0.800    0.49512E-04
   0.000   0.200   0.900    0.15242E-04
   0.000   0.200   1.000    0.17111E-04
   0.000   0.300   0.000    0.79819E-05
   0.000   0.300   0.100    0.31987E-04
   0.000   0.300   0.200    0.95713E-04
   0.000   0.300   0.300    0.21015E-03
   0.000   0.300   0.400    0.33435E-03
   0.000   0.300   0.500    0.38962E-03
   0.000   0.300   0.600    0.32795E-03
   0.000   0.300   0.700    0.20295E-03
   0.000   0.300   0.800    0.91580E-04
   0.000   0.300   0.900    0.30528E-04
   0.000   0.300   1.000    0.76446E-05
   0.000   0.400   0.000    0.11671E-04
   0.000   0.400   0.100    0.51281E-04
   0.000   0.400   0.200    0.15883E-03
   0.000   0.400   0.300    0.35344E-03
   0.000   0.400   0.400    0.56510E-03
   0.000   0.400   0.500    0.65806E-03
   0.000   0.400   0.600    0.55426E-03
   0.000   0.400   0.700    0.34194E-03
   0.000   0.400   0.800    0.15299E-03
   0.000   0.400   0.900    0.49692E-04
   0.000   0.400   1.000    0.11482E-04
   0.000   0.500   0.000    0.18735E-04
   0.000   0.500   0.100    0.77199E-04
   0.000   0.500   0.200    0.24392E-03
   0.000   0.500   0.300    0.54768E-03
   0.000   0.500   0.400    0.88094E-03
   0.000   0.500   0.500    0.10282E-02
   0.000   0.500   0.600    0.86495E-03
   0.000   0.500   0.700    0.53222E-03
   0.000   0.500   0.800    0.23774E-03
   0.000   0.500   0.900    0.76582E-04
   0.000   0.500   1.000    0.19160E-04
   0.000   0.600   0.000    0.25003E-04
   0.000   0.600   0.100    0.10869E-03
   0.000   0.600   0.200    0.34514E-03
   0.000   0.600   0.300    0.77906E-03
   0.000   0.600   0.400    0.12695E-02
   0.000   0.600   0.500    0.14815E-02
   0.000   0.600   0.600    0.12494E-02
   0.000   0.600   0.700    0.76271E-03
   0.000   0.600   0.800    0.34212E-03
   0.000   0.600   0.900    0.11122E-03
   0.000   0.600   1.000    0.26853E-04
   0.000   0.700   0.000    0.30515E-04
   0.000   0.700   0.100    0.13772E-03
   0.000   0.700   0.200    0.44575E-03
   0.000   0.700   0.300    0.10260E-02
   0.000   0.700   0.400    0.16776E-02
   0.000   0.700   0.500    0.19696E-02
   0.000   0.700   0.600    0.16568E-02
   0.000   0.700   0.700    0.10141E-02
   0.000   0.700   0.800    0.45074E-03
   0.000   0.700   0.900    0.14592E-03
   0.000   0.700   1.000    0.34553E-04
   0.000   0.800   0.000    0.35577E-04
   0.000   0.800   0.100    0.16508E-03
   0.000   0.800   0.200    0.53540E-03
   0.000   0.800   0.300    0.12456E-02
   0.000   0.800   0.400    0.20523E-02
   0.000   0.800   0.500    0.24111E-02
   0.000   0.800   0.600    0.20344E-02
   0.000   0.800   0.700    0.12430E-02
   0.000   0.800   0.800    0.55187E-03
   0.000   0.800   0.900    0.18066E-03
   0.000   0.800   1.000    0.42254E-04
   0.000   0.900   0.000    0.37559E-04
   0.000   0.900   0.100    0.18204E-03
   0.000   0.900   0.200    0.59514E-03
   0.000   0.900   0.300    0.13943E-02
   0.000   0.900   0.400    0.23103E-02
   0.000   0.900   0.500    0.27236E-02
   0.000   0.900   0.600    0.22966E-02
   0.000   0.900   0.700    0.14015E-02
   0.000   0.900   0.800    0.62204E-03
   0.000   0.900   0.900    0.20384E-03
   0.000   0.900   1.000    0.46109E-04
   0.000   1.000   0.000    0.40213E-04
   0.000   1.000   0.100    0.18739E-03
   0.000   1.000   0.200    0.61810E-03
   0.000   1.000   0.300    0.14497E-02
   0.000   1.000   0.400    0.24053E-02
   0.000   1.000   0.500    0.28373E-02
   0.000   1.000   0.600    0.23936E-02
