! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  1.000
!    DOWNWELLING FLUX:   Z=  0.000
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.000   0.000    0.38115E+00   0.41758E+00   0.71844E-04
   0.055   0.000    0.37210E+00   0.41659E+00   0.43633E-04
   0.110   0.000    0.36627E+00   0.41619E+00   0.18575E-04
   0.165   0.000    0.37030E+00   0.42684E+00   0.13812E-04
   0.220   0.000    0.35618E+00   0.42360E+00   0.16945E-04
   0.275   0.000    0.34521E+00   0.41594E+00   0.11364E-04
   0.330   0.000    0.34426E+00   0.41722E+00   0.38008E-05
   0.385   0.000    0.35579E+00   0.44391E+00   0.14067E-04
   0.440   0.000    0.35512E+00   0.45530E+00   0.69085E-04
   0.495   0.000    0.35393E+00   0.46184E+00   0.10593E-03
   0.550   0.000    0.35079E+00   0.46565E+00   0.15174E-03
   0.605   0.000    0.33701E+00   0.44958E+00   0.48299E-03
   0.660   0.000    0.34323E+00   0.45502E+00   0.97156E-03
   0.715   0.000    0.35505E+00   0.46701E+00   0.66172E-03
   0.770   0.000    0.38680E+00   0.51038E+00   0.27818E-03
   0.825   0.000    0.40044E+00   0.52447E+00   0.36017E-03
   0.880   0.000    0.40152E+00   0.53323E+00   0.37120E-02
   0.935   0.000    0.40435E+00   0.53623E+00   0.10024E-01
   0.990   0.000    0.41735E+00   0.55069E+00   0.48488E-02
   1.045   0.000    0.41990E+00   0.55287E+00   0.39135E-02
   1.100   0.000    0.41016E+00   0.54775E+00   0.74993E-02
   1.155   0.000    0.41338E+00   0.55320E+00   0.20511E-01
   1.210   0.000    0.42345E+00   0.57708E+00   0.12504E-01
   1.265   0.000    0.40842E+00   0.58215E+00   0.71591E-02
   1.320   0.000    0.40707E+00   0.58541E+00   0.68837E-02
   1.375   0.000    0.41708E+00   0.59024E+00   0.14398E-01
   1.430   0.000    0.41567E+00   0.58259E+00   0.19583E-01
   1.485   0.000    0.41877E+00   0.58123E+00   0.43109E-01
   1.540   0.000    0.42586E+00   0.58856E+00   0.11124E+00
   1.595   0.000    0.42386E+00   0.59077E+00   0.43200E-01
   1.650   0.000    0.42743E+00   0.58910E+00   0.19233E-01
   1.705   0.000    0.43044E+00   0.58218E+00   0.18725E-01
   1.760   0.000    0.42311E+00   0.57180E+00   0.25328E-01
   1.815   0.000    0.41102E+00   0.55859E+00   0.49326E-01
   1.870   0.000    0.40814E+00   0.55181E+00   0.74473E-01
   1.925   0.000    0.39788E+00   0.53936E+00   0.34934E-01
   1.980   0.000    0.39683E+00   0.53505E+00   0.12669E-01
   2.035   0.000    0.41437E+00   0.56150E+00   0.27918E-02
   2.090   0.000    0.42408E+00   0.57540E+00   0.12405E-02
   2.145   0.000    0.42907E+00   0.56839E+00   0.16954E-02
   2.200   0.000    0.45099E+00   0.57692E+00   0.25134E-02
   2.255   0.000    0.47221E+00   0.58615E+00   0.22520E-02
   2.310   0.000    0.49558E+00   0.58878E+00   0.39741E-02
   2.365   0.000    0.52293E+00   0.58686E+00   0.11573E-01
   2.420   0.000    0.53771E+00   0.58022E+00   0.12442E-01
   2.475   0.000    0.54896E+00   0.57831E+00   0.83632E-02
   2.530   0.000    0.54451E+00   0.57166E+00   0.11932E-01
   2.585   0.000    0.53649E+00   0.56125E+00   0.13637E-01
   2.640   0.000    0.52082E+00   0.54966E+00   0.57864E-02
   2.695   0.000    0.51563E+00   0.53864E+00   0.57727E-02
   2.750   0.000    0.50638E+00   0.53031E+00   0.46387E-02
   2.805   0.000    0.47943E+00   0.52280E+00   0.35654E-02
   2.860   0.000    0.45443E+00   0.51556E+00   0.45010E-02
   2.915   0.000    0.45480E+00   0.50664E+00   0.31255E-02
   2.970   0.000    0.45889E+00   0.49176E+00   0.14817E-02
   3.025   0.000    0.44800E+00   0.46834E+00   0.30257E-02
   3.080   0.000    0.41849E+00   0.44214E+00   0.24973E-01
   3.135   0.000    0.40237E+00   0.41700E+00   0.13088E+00
   3.190   0.000    0.39986E+00   0.40410E+00   0.11418E+00
   3.245   0.000    0.40483E+00   0.40423E+00   0.24991E-01
   3.300   0.000    0.40455E+00   0.40923E+00   0.39288E-02
   3.355   0.000    0.38258E+00   0.40010E+00   0.75203E-03
   3.410   0.000    0.36771E+00   0.39477E+00   0.37740E-03
   3.465   0.000    0.37229E+00   0.40664E+00   0.14998E-03
