! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  0.750    NXO=  64    NYO=   1
!    DOWNWELLING FLUX:   Z=  0.750
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.000   0.000    0.43630E+00   0.33028E+00   0.64316E+00
   0.055   0.000    0.39621E+00   0.18613E+00   0.77303E+00
   0.110   0.000    0.38798E+00   0.48387E-01   0.96491E+00
   0.165   0.000    0.42300E+00   0.24803E+00   0.73936E+00
   0.220   0.000    0.34456E+00   0.87577E-01   0.89813E+00
   0.275   0.000    0.26209E+00   0.16018E-01   0.10000E+01
   0.330   0.000    0.26100E+00   0.10501E-01   0.10000E+01
   0.385   0.000    0.32847E+00   0.75155E-02   0.10000E+01
   0.440   0.000    0.36978E+00   0.56802E-02   0.10000E+01
   0.495   0.000    0.37317E+00   0.46224E-02   0.10000E+01
   0.550   0.000    0.33560E+00   0.41878E-02   0.10000E+01
   0.605   0.000    0.24462E+00   0.43357E-02   0.10000E+01
   0.660   0.000    0.21302E+00   0.51502E-02   0.10000E+01
   0.715   0.000    0.24394E+00   0.13875E-01   0.10000E+01
   0.770   0.000    0.39408E+00   0.37537E+00   0.58757E+00
   0.825   0.000    0.47650E+00   0.51634E+00   0.39042E+00
   0.880   0.000    0.45793E+00   0.37659E+00   0.55250E+00
   0.935   0.000    0.47420E+00   0.37310E+00   0.60595E+00
   0.990   0.000    0.51653E+00   0.55659E+00   0.37373E+00
   1.045   0.000    0.45163E+00   0.48704E+00   0.40444E+00
   1.100   0.000    0.34533E+00   0.16741E+00   0.80667E+00
   1.155   0.000    0.34902E+00   0.42447E-01   0.10000E+01
   1.210   0.000    0.39559E+00   0.30522E+00   0.67721E+00
   1.265   0.000    0.31822E+00   0.10624E+00   0.87050E+00
   1.320   0.000    0.31780E+00   0.25377E-01   0.10000E+01
   1.375   0.000    0.38558E+00   0.16826E-01   0.10000E+01
   1.430   0.000    0.41436E+00   0.16404E-01   0.10000E+01
   1.485   0.000    0.44089E+00   0.11957E+00   0.89346E+00
   1.540   0.000    0.47997E+00   0.25272E+00   0.76044E+00
   1.595   0.000    0.48507E+00   0.31504E+00   0.60232E+00
   1.650   0.000    0.49481E+00   0.47672E+00   0.48434E+00
   1.705   0.000    0.48082E+00   0.54892E+00   0.36709E+00
   1.760   0.000    0.41336E+00   0.43414E+00   0.47715E+00
   1.815   0.000    0.33350E+00   0.13383E+00   0.84848E+00
