! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=FLUX                
!   X       Y       Z           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.000   0.000   0.000    0.16795E-01   0.41758E+00   0.71844E-04
   0.000   0.000   0.050    0.16733E-01   0.41531E+00   0.25194E-04
   0.000   0.000   0.100    0.16783E-01   0.41227E+00   0.14188E-04
   0.000   0.000   0.150    0.16999E-01   0.41164E+00   0.14111E-04
   0.000   0.000   0.200    0.17211E-01   0.41605E+00   0.40475E-05
   0.000   0.000   0.250    0.17429E-01   0.42493E+00   0.60273E-04
   0.000   0.000   0.300    0.17731E-01   0.43509E+00   0.11576E-03
   0.000   0.000   0.350    0.17952E-01   0.44462E+00   0.49666E-03
   0.000   0.000   0.400    0.18069E-01   0.45693E+00   0.84735E-03
   0.000   0.000   0.425    0.18175E-01   0.46581E+00   0.48400E-03
   0.000   0.000   0.450    0.18284E-01   0.47568E+00   0.25250E-03
   0.000   0.000   0.475    0.18411E-01   0.48478E+00   0.34140E-03
   0.000   0.000   0.500    0.18634E-01   0.49438E+00   0.18465E-02
   0.000   0.000   0.525    0.19092E-01   0.50468E+00   0.98112E-02
   0.000   0.000   0.550    0.28806E-01   0.51161E+00   0.88664E-02
   0.000   0.000   0.575    0.43115E-01   0.52826E+00   0.71808E-02
   0.000   0.000   0.600    0.62792E-01   0.56341E+00   0.81627E-02
   0.000   0.000   0.625    0.91417E-01   0.60984E+00   0.12780E-01
   0.000   0.000   0.650    0.13683E+00   0.70390E+00   0.62597E-01
   0.000   0.000   0.675    0.19688E+00   0.78744E+00   0.14519E+00
   0.000   0.000   0.700    0.27936E+00   0.77360E+00   0.21016E+00
   0.000   0.000   0.725    0.37897E+00   0.64378E+00   0.38917E+00
   0.000   0.000   0.750    0.43630E+00   0.33028E+00   0.64316E+00
   0.000   0.000   0.775    0.42401E+00   0.13083E-03   0.10000E+01
   0.000   0.000   0.800    0.39481E+00   0.82282E-09   0.10000E+01
   0.000   0.000   0.825    0.39641E+00   0.00000E+00   0.10000E+01
   0.000   0.000   0.850    0.39624E+00   0.00000E+00   0.10000E+01
   0.000   0.000   0.900    0.38093E+00   0.00000E+00   0.10000E+01
   0.000   0.000   0.950    0.38129E+00   0.00000E+00   0.10000E+01
   0.000   0.000   1.000    0.38115E+00   0.00000E+00   0.10000E+01
   0.055   0.000   0.000    0.16753E-01   0.41659E+00   0.43633E-04
   0.055   0.000   0.050    0.16826E-01   0.41497E+00   0.14270E-04
   0.055   0.000   0.100    0.16903E-01   0.41385E+00   0.16859E-04
   0.055   0.000   0.150    0.17013E-01   0.41519E+00   0.46873E-05
   0.055   0.000   0.200    0.17180E-01   0.42011E+00   0.25764E-04
   0.055   0.000   0.250    0.17380E-01   0.42826E+00   0.10459E-03
   0.055   0.000   0.300    0.17627E-01   0.43855E+00   0.23323E-03
   0.055   0.000   0.350    0.17905E-01   0.45086E+00   0.97342E-03
   0.055   0.000   0.400    0.18081E-01   0.46529E+00   0.39487E-03
   0.055   0.000   0.425    0.18133E-01   0.47277E+00   0.24129E-03
   0.055   0.000   0.450    0.18218E-01   0.47995E+00   0.46928E-03
   0.055   0.000   0.475    0.18354E-01   0.48710E+00   0.33277E-02
   0.055   0.000   0.500    0.18603E-01   0.49347E+00   0.10778E-01
   0.055   0.000   0.525    0.19082E-01   0.49617E+00   0.64711E-02
