! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON STER)    WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=MEDIUM-PROPERTIES   
!    X       Y       Z      Extinct  Albedo  Asymmetry Temp
   0.000   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.000   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.000   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.000   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.000   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.000   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.000   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.000   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.000   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.000   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.000   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.000   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.000   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.000   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.000   0.000   0.550   5.211767 0.995512  0.72133  282.50
   0.000   0.000   0.575   7.463250 0.994201  0.73049  282.30
   0.000   0.000   0.600  10.022274 0.992710  0.73761  282.10
   0.000   0.000   0.625  11.890592 0.991735  0.74000  282.00
   0.000   0.000   0.650  14.705855 0.990521  0.74164  281.80
   0.000   0.000   0.675  15.803826 0.990055  0.74232  281.70
   0.000   0.000   0.700  20.437883 0.988401  0.74415  281.60
   0.000   0.000   0.725  26.844965 0.986431  0.74639  281.50
   0.000   0.000   0.750  23.936079 0.987309  0.74528  281.70
   0.000   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.000   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.000   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.000   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.000   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.000   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.000   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.055   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.055   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.055   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.055   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.055   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.055   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.055   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.055   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.055   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.055   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.055   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.055   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.055   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.055   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.055   0.000   0.550   5.053206 0.995659  0.71871  282.50
   0.055   0.000   0.575   7.275987 0.994279  0.73049  282.30
   0.055   0.000   0.600  10.497301 0.992529  0.73761  282.10
   0.055   0.000   0.625  12.166566 0.991637  0.74000  282.00
   0.055   0.000   0.650  16.450140 0.989860  0.74232  281.80
   0.055   0.000   0.675  16.664261 0.989797  0.74232  281.70
   0.055   0.000   0.700  17.026165 0.989692  0.74232  281.60
   0.055   0.000   0.725  18.207716 0.989234  0.74296  281.50
   0.055   0.000   0.750   5.444732 0.995402  0.72133  281.70
   0.055   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.055   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.055   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.055   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.055   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.055   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.055   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.110   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.110   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.110   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.110   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.110   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.110   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.110   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.110   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.110   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.110   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.110   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.110   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.110   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.110   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.110   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.110   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.110   0.000   0.600   6.681455 0.994622  0.72835  282.10
   0.110   0.000   0.625  10.106452 0.992677  0.73761  282.00
   0.110   0.000   0.650  14.777075 0.990498  0.74164  281.80
   0.110   0.000   0.675  17.361233 0.989474  0.74296  281.70
   0.110   0.000   0.700  19.069906 0.988877  0.74356  281.60
   0.110   0.000   0.725  19.934988 0.988647  0.74356  281.50
   0.110   0.000   0.750   0.000000 0.000000  0.00000  281.70
   0.110   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.110   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.110   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.110   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.110   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.110   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.110   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.165   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.165   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.165   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.165   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.165   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.165   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.165   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.165   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.165   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.165   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.165   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.165   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.165   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.165   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.165   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.165   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.165   0.000   0.600   4.568134 0.995974  0.71543  282.10
   0.165   0.000   0.625   9.722659 0.992828  0.73761  282.00
   0.165   0.000   0.650  13.312177 0.991108  0.74088  281.80
   0.165   0.000   0.675  17.209938 0.989517  0.74296  281.70
   0.165   0.000   0.700  22.450031 0.987778  0.74472  281.60
   0.165   0.000   0.725  31.528837 0.985218  0.74746  281.50
   0.165   0.000   0.750  16.376436 0.989881  0.74232  281.70
   0.165   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.165   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.165   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.165   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.165   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.165   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.165   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.220   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.220   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.220   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.220   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.220   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.220   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.220   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.220   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.220   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.220   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.220   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.220   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.220   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.220   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.220   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.220   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.220   0.000   0.600   6.242084 0.994885  0.72644  282.10
   0.220   0.000   0.625  11.104283 0.992158  0.73894  282.00
   0.220   0.000   0.650  14.116311 0.990842  0.74088  281.80
   0.220   0.000   0.675  13.130549 0.991170  0.74088  281.70
   0.220   0.000   0.700  10.914104 0.992230  0.73894  281.60
   0.220   0.000   0.725  20.878027 0.988286  0.74415  281.50
   0.220   0.000   0.750   0.000000 0.000000  0.00000  281.70
   0.220   0.000   0.775   0.000000 0.000000  0.00000  283.90
   0.220   0.000   0.800   0.000000 0.000000  0.00000  286.20
   0.220   0.000   0.825   0.000000 0.000000  0.00000  286.90
   0.220   0.000   0.850   0.000000 0.000000  0.00000  288.00
   0.220   0.000   0.900   0.000000 0.000000  0.00000  289.00
   0.220   0.000   0.950   0.000000 0.000000  0.00000  289.50
   0.220   0.000   1.000   0.000000 0.000000  0.00000  290.00
   0.275   0.000   0.000   0.000000 0.000000  0.00000  288.00
   0.275   0.000   0.050   0.000000 0.000000  0.00000  287.50
   0.275   0.000   0.100   0.000000 0.000000  0.00000  287.00
   0.275   0.000   0.150   0.000000 0.000000  0.00000  286.50
   0.275   0.000   0.200   0.000000 0.000000  0.00000  286.00
   0.275   0.000   0.250   0.000000 0.000000  0.00000  285.50
   0.275   0.000   0.300   0.000000 0.000000  0.00000  285.50
   0.275   0.000   0.350   0.000000 0.000000  0.00000  284.50
   0.275   0.000   0.400   0.000000 0.000000  0.00000  284.00
   0.275   0.000   0.425   0.000000 0.000000  0.00000  283.60
   0.275   0.000   0.450   0.000000 0.000000  0.00000  283.40
   0.275   0.000   0.475   0.000000 0.000000  0.00000  283.20
   0.275   0.000   0.500   0.000000 0.000000  0.00000  282.90
   0.275   0.000   0.525   0.000000 0.000000  0.00000  282.70
   0.275   0.000   0.550   0.000000 0.000000  0.00000  282.50
   0.275   0.000   0.575   0.000000 0.000000  0.00000  282.30
   0.275   0.000   0.600   4.188911 0.996262  0.71218  282.10
   0.275   0.000   0.625  10.181696 0.992647  0.73761  282.00
   0.275   0.000   0.650  13.889772 0.990916  0.74088  281.80
