! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L=  1  M=  0  NLM=    2   NMU=  2  NPHI=  2  NANG=    4   NSH=     51628
!  NX=4096   NY=   1   NZ=  20    NPTS=  103771   NCELLS=  119876
!  PROPERTY_FILE=spot3D0p865CER12.prp            
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      0.87
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  19
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  1.000
!    DOWNWELLING FLUX:   Z=  0.000
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.000   0.000    0.50659E+00   0.44510E+00   0.13729E+00
   1.000   0.000    0.53467E+00   0.43506E+00   0.23562E-01
   2.000   0.000    0.53351E+00   0.43508E+00   0.20445E-01
   3.000   0.000    0.53966E+00   0.43184E+00   0.29773E-01
   4.000   0.000    0.54879E+00   0.42620E+00   0.24474E-01
   5.000   0.000    0.55050E+00   0.42449E+00   0.18795E-01
   6.000   0.000    0.56154E+00   0.41758E+00   0.21655E-01
   7.000   0.000    0.56303E+00   0.41616E+00   0.14426E-01
   8.000   0.000    0.57198E+00   0.41075E+00   0.16967E-01
   9.000   0.000    0.57355E+00   0.40966E+00   0.12334E-01
  10.000   0.000    0.58314E+00   0.40333E+00   0.14426E-01
  11.000   0.000    0.57904E+00   0.40515E+00   0.92051E-02
  12.000   0.000    0.57214E+00   0.40926E+00   0.11551E-01
  13.000   0.000    0.56301E+00   0.41504E+00   0.13232E-01
  14.000   0.000    0.55567E+00   0.41996E+00   0.16221E-01
  15.000   0.000    0.54439E+00   0.42689E+00   0.17333E-01
  16.000   0.000    0.53032E+00   0.43520E+00   0.21543E-01
  17.000   0.000    0.52338E+00   0.43990E+00   0.30086E-01
  18.000   0.000    0.52790E+00   0.43844E+00   0.34661E-01
  19.000   0.000    0.52894E+00   0.43730E+00   0.27829E-01
  20.000   0.000    0.51367E+00   0.44410E+00   0.24506E-01
  21.000   0.000    0.50685E+00   0.44814E+00   0.39460E-01
  22.000   0.000    0.51520E+00   0.44521E+00   0.44965E-01
  23.000   0.000    0.52938E+00   0.43801E+00   0.36721E-01
  24.000   0.000    0.54994E+00   0.42595E+00   0.29486E-01
  25.000   0.000    0.55022E+00   0.42462E+00   0.16034E-01
  26.000   0.000    0.54680E+00   0.42645E+00   0.19479E-01
  27.000   0.000    0.54011E+00   0.43042E+00   0.20753E-01
  28.000   0.000    0.53742E+00   0.43244E+00   0.24933E-01
  29.000   0.000    0.53922E+00   0.43168E+00   0.25870E-01
  30.000   0.000    0.53344E+00   0.43442E+00   0.22171E-01
  31.000   0.000    0.53214E+00   0.43538E+00   0.28013E-01
  32.000   0.000    0.54686E+00   0.42759E+00   0.31196E-01
  33.000   0.000    0.54580E+00   0.42742E+00   0.17664E-01
  34.000   0.000    0.54373E+00   0.42850E+00   0.21362E-01
  35.000   0.000    0.54202E+00   0.42951E+00   0.22725E-01
  36.000   0.000    0.55369E+00   0.42294E+00   0.25856E-01
  37.000   0.000    0.55551E+00   0.42115E+00   0.16543E-01
  38.000   0.000    0.56495E+00   0.41538E+00   0.19524E-01
  39.000   0.000    0.57433E+00   0.40925E+00   0.15100E-01
  40.000   0.000    0.58064E+00   0.40480E+00   0.12170E-01
  41.000   0.000    0.58084E+00   0.40435E+00   0.10710E-01
  42.000   0.000    0.58854E+00   0.39898E+00   0.12589E-01
  43.000   0.000    0.58104E+00   0.40303E+00   0.79182E-02
  44.000   0.000    0.56605E+00   0.41272E+00   0.10453E-01
  45.000   0.000    0.56726E+00   0.41316E+00   0.18106E-01
  46.000   0.000    0.57159E+00   0.41086E+00   0.14863E-01
  47.000   0.000    0.57979E+00   0.40564E+00   0.13863E-01
  48.000   0.000    0.58596E+00   0.40100E+00   0.11244E-01
  49.000   0.000    0.59468E+00   0.39437E+00   0.10566E-01
  50.000   0.000    0.60262E+00   0.38772E+00   0.82576E-02
  51.000   0.000    0.60328E+00   0.38631E+00   0.63237E-02
  52.000   0.000    0.61154E+00   0.38003E+00   0.77019E-02
  53.000   0.000    0.61521E+00   0.37643E+00   0.51939E-02
  54.000   0.000    0.60639E+00   0.38262E+00   0.42560E-02
  55.000   0.000    0.60565E+00   0.38395E+00   0.72123E-02
  56.000   0.000    0.59763E+00   0.39011E+00   0.59148E-02
  57.000   0.000    0.59659E+00   0.39156E+00   0.85988E-02
  58.000   0.000    0.58661E+00   0.39880E+00   0.71818E-02
  59.000   0.000    0.58736E+00   0.39932E+00   0.11571E-01
  60.000   0.000    0.58380E+00   0.40178E+00   0.94029E-02
  61.000   0.000    0.57607E+00   0.40691E+00   0.10274E-01
  62.000   0.000    0.56826E+00   0.41188E+00   0.12745E-01
  63.000   0.000    0.55492E+00   0.41985E+00   0.13672E-01
  64.000   0.000    0.53536E+00   0.43145E+00   0.17390E-01
  65.000   0.000    0.52198E+00   0.43975E+00   0.27551E-01
  66.000   0.000    0.51181E+00   0.44556E+00   0.33122E-01
  67.000   0.000    0.50988E+00   0.44698E+00   0.39651E-01
  68.000   0.000    0.49863E+00   0.45153E+00   0.35240E-01
  69.000   0.000    0.50272E+00   0.45099E+00   0.50906E-01
  70.000   0.000    0.51142E+00   0.44722E+00   0.43323E-01
  71.000   0.000    0.51705E+00   0.44397E+00   0.36382E-01
  72.000   0.000    0.53960E+00   0.43239E+00   0.39381E-01
  73.000   0.000    0.53971E+00   0.43121E+00   0.18828E-01
  74.000   0.000    0.53431E+00   0.43404E+00   0.23081E-01
  75.000   0.000    0.53533E+00   0.43393E+00   0.28163E-01
  76.000   0.000    0.52952E+00   0.43687E+00   0.24247E-01
  77.000   0.000    0.52956E+00   0.43709E+00   0.29818E-01
  78.000   0.000    0.52112E+00   0.44106E+00   0.26105E-01
  79.000   0.000    0.52793E+00   0.43851E+00   0.37127E-01
  80.000   0.000    0.54181E+00   0.43092E+00   0.30426E-01
  81.000   0.000    0.54447E+00   0.42863E+00   0.20291E-01
  82.000   0.000    0.55458E+00   0.42272E+00   0.23751E-01
  83.000   0.000    0.56530E+00   0.41590E+00   0.18606E-01
  84.000   0.000    0.57423E+00   0.40957E+00   0.14898E-01
  85.000   0.000    0.56962E+00   0.41137E+00   0.11044E-01
  86.000   0.000    0.56252E+00   0.41562E+00   0.13914E-01
  87.000   0.000    0.56301E+00   0.41565E+00   0.17438E-01
  88.000   0.000    0.55716E+00   0.41915E+00   0.14551E-01
  89.000   0.000    0.54835E+00   0.42472E+00   0.17009E-01
  90.000   0.000    0.53988E+00   0.43023E+00   0.20960E-01
  91.000   0.000    0.53903E+00   0.43139E+00   0.25706E-01
  92.000   0.000    0.52970E+00   0.43628E+00   0.22137E-01
  93.000   0.000    0.52425E+00   0.43965E+00   0.29480E-01
  94.000   0.000    0.52889E+00   0.43787E+00   0.33991E-01
  95.000   0.000    0.52912E+00   0.43694E+00   0.27257E-01
  96.000   0.000    0.51072E+00   0.44497E+00   0.24071E-01
  97.000   0.000    0.49788E+00   0.45130E+00   0.40335E-01
  98.000   0.000    0.49031E+00   0.45502E+00   0.47552E-01
  99.000   0.000    0.49741E+00   0.45332E+00   0.55850E-01
 100.000   0.000    0.51051E+00   0.44806E+00   0.47370E-01
 101.000   0.000    0.51732E+00   0.44435E+00   0.35602E-01
 102.000   0.000    0.51245E+00   0.44593E+00   0.30925E-01
 103.000   0.000    0.50982E+00   0.44727E+00   0.38283E-01
 104.000   0.000    0.52052E+00   0.44279E+00   0.42735E-01
 105.000   0.000    0.51799E+00   0.44343E+00   0.28700E-01
 106.000   0.000    0.51506E+00   0.44482E+00   0.33924E-01
 107.000   0.000    0.51236E+00   0.44617E+00   0.35821E-01
 108.000   0.000    0.52183E+00   0.44222E+00   0.40778E-01
 109.000   0.000    0.53054E+00   0.43746E+00   0.31472E-01
 110.000   0.000    0.53290E+00   0.43571E+00   0.26547E-01
 111.000   0.000    0.52681E+00   0.43808E+00   0.25000E-01
 112.000   0.000    0.49197E+00   0.45449E+00   0.22923E-01
 113.000   0.000    0.47440E+00   0.46491E+00   0.58984E-01
 114.000   0.000    0.46500E+00   0.46990E+00   0.68197E-01
 115.000   0.000    0.47051E+00   0.47019E+00   0.78587E-01
 116.000   0.000    0.47991E+00   0.46707E+00   0.68193E-01
 117.000   0.000    0.48059E+00   0.46387E+00   0.56332E-01
 118.000   0.000    0.49088E+00   0.45819E+00   0.62414E-01
 119.000   0.000    0.49163E+00   0.45601E+00   0.46515E-01
 120.000   0.000    0.50017E+00   0.45248E+00   0.52309E-01
 121.000   0.000    0.50107E+00   0.45161E+00   0.41527E-01
 122.000   0.000    0.51035E+00   0.44776E+00   0.46514E-01
 123.000   0.000    0.50545E+00   0.44909E+00   0.33602E-01
 124.000   0.000    0.49665E+00   0.45259E+00   0.40158E-01
 125.000   0.000    0.49612E+00   0.45327E+00   0.49765E-01
 126.000   0.000    0.48871E+00   0.45572E+00   0.43844E-01
 127.000   0.000    0.48521E+00   0.45723E+00   0.53125E-01
 128.000   0.000    0.49565E+00   0.45426E+00   0.59443E-01
 129.000   0.000    0.50603E+00   0.45002E+00   0.46377E-01
 130.000   0.000    0.51316E+00   0.44641E+00   0.39270E-01
 131.000   0.000    0.50739E+00   0.44813E+00   0.32799E-01
 132.000   0.000    0.49780E+00   0.45201E+00   0.39249E-01
 133.000   0.000    0.49638E+00   0.45296E+00   0.48713E-01
 134.000   0.000    0.48722E+00   0.45607E+00   0.43447E-01
 135.000   0.000    0.49310E+00   0.45496E+00   0.58824E-01
 136.000   0.000    0.50473E+00   0.45052E+00   0.49936E-01
 137.000   0.000    0.50737E+00   0.44893E+00   0.38030E-01
 138.000   0.000    0.51941E+00   0.44352E+00   0.42730E-01
 139.000   0.000    0.52208E+00   0.44161E+00   0.30592E-01
 140.000   0.000    0.53367E+00   0.43565E+00   0.34455E-01
 141.000   0.000    0.53044E+00   0.43651E+00   0.22832E-01
 142.000   0.000    0.52579E+00   0.43893E+00   0.27714E-01
 143.000   0.000    0.53274E+00   0.43586E+00   0.33492E-01
 144.000   0.000    0.54464E+00   0.42910E+00   0.27770E-01
 145.000   0.000    0.55426E+00   0.42265E+00   0.21226E-01
 146.000   0.000    0.55814E+00   0.41945E+00   0.17561E-01
 147.000   0.000    0.55777E+00   0.41873E+00   0.16425E-01
 148.000   0.000    0.54051E+00   0.42855E+00   0.14432E-01
 149.000   0.000    0.54168E+00   0.42975E+00   0.28602E-01
 150.000   0.000    0.54517E+00   0.42795E+00   0.23593E-01
 151.000   0.000    0.53674E+00   0.43201E+00   0.19154E-01
 152.000   0.000    0.52149E+00   0.44002E+00   0.23815E-01
 153.000   0.000    0.51449E+00   0.44452E+00   0.34981E-01
 154.000   0.000    0.52169E+00   0.44203E+00   0.40055E-01
 155.000   0.000    0.53177E+00   0.43682E+00   0.32466E-01
 156.000   0.000    0.54103E+00   0.43125E+00   0.26817E-01
 157.000   0.000    0.53773E+00   0.43234E+00   0.20729E-01
 158.000   0.000    0.53384E+00   0.43443E+00   0.24880E-01
 159.000   0.000    0.52874E+00   0.43735E+00   0.26402E-01
 160.000   0.000    0.53058E+00   0.43680E+00   0.30630E-01
 161.000   0.000    0.52418E+00   0.43973E+00   0.25682E-01
 162.000   0.000    0.51725E+00   0.44338E+00   0.30986E-01
 163.000   0.000    0.51885E+00   0.44321E+00   0.37226E-01
 164.000   0.000    0.51524E+00   0.44463E+00   0.31941E-01
 165.000   0.000    0.50699E+00   0.44814E+00   0.34099E-01
 166.000   0.000    0.49890E+00   0.45179E+00   0.40548E-01
 167.000   0.000    0.49968E+00   0.45204E+00   0.48026E-01
 168.000   0.000    0.49532E+00   0.45362E+00   0.42329E-01
 169.000   0.000    0.50101E+00   0.45197E+00   0.51029E-01
 170.000   0.000    0.50701E+00   0.44937E+00   0.43433E-01
 171.000   0.000    0.50203E+00   0.45130E+00   0.36479E-01
 172.000   0.000    0.49515E+00   0.45540E+00   0.42823E-01
 173.000   0.000    0.48645E+00   0.46106E+00   0.47138E-01
 174.000   0.000    0.47816E+00   0.46614E+00   0.55129E-01
 175.000   0.000    0.47586E+00   0.46817E+00   0.64246E-01
 176.000   0.000    0.46141E+00   0.47060E+00   0.58035E-01
 177.000   0.000    0.45552E+00   0.47206E+00   0.80060E-01
