! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L=  1  M=  0  NLM=    2   NMU=  2  NPHI=  2  NANG=    4   NSH=     51628
!  NX=4096   NY=   1   NZ=  20    NPTS=  103771   NCELLS=  119876
!  PROPERTY_FILE=spot3D0p865CER12.prp            
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0000000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      0.87
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  19
!  OUTPUT_TYPE=FLUX                
!    UPWELLING FLUX:     Z=  1.000    NXO=4096    NYO=   1
!    DOWNWELLING FLUX:   Z=  1.000
!   X       Y           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.000   0.000    0.50659E+00   0.00000E+00   0.10000E+01
   1.000   0.000    0.53467E+00   0.00000E+00   0.10000E+01
   2.000   0.000    0.53351E+00   0.00000E+00   0.10000E+01
   3.000   0.000    0.53966E+00   0.00000E+00   0.10000E+01
   4.000   0.000    0.54879E+00   0.00000E+00   0.10000E+01
   5.000   0.000    0.55050E+00   0.00000E+00   0.10000E+01
   6.000   0.000    0.56154E+00   0.00000E+00   0.10000E+01
   7.000   0.000    0.56303E+00   0.00000E+00   0.10000E+01
   8.000   0.000    0.57198E+00   0.00000E+00   0.10000E+01
   9.000   0.000    0.57355E+00   0.00000E+00   0.10000E+01
  10.000   0.000    0.58314E+00   0.00000E+00   0.10000E+01
  11.000   0.000    0.57904E+00   0.00000E+00   0.10000E+01
  12.000   0.000    0.57214E+00   0.00000E+00   0.10000E+01
  13.000   0.000    0.56301E+00   0.00000E+00   0.10000E+01
  14.000   0.000    0.55567E+00   0.00000E+00   0.10000E+01
  15.000   0.000    0.54439E+00   0.00000E+00   0.10000E+01
  16.000   0.000    0.53032E+00   0.00000E+00   0.10000E+01
  17.000   0.000    0.52338E+00   0.00000E+00   0.10000E+01
  18.000   0.000    0.52790E+00   0.00000E+00   0.10000E+01
  19.000   0.000    0.52894E+00   0.00000E+00   0.10000E+01
  20.000   0.000    0.51367E+00   0.00000E+00   0.10000E+01
  21.000   0.000    0.50685E+00   0.00000E+00   0.10000E+01
  22.000   0.000    0.51520E+00   0.00000E+00   0.10000E+01
  23.000   0.000    0.52938E+00   0.00000E+00   0.10000E+01
  24.000   0.000    0.54994E+00   0.00000E+00   0.10000E+01
  25.000   0.000    0.55022E+00   0.00000E+00   0.10000E+01
  26.000   0.000    0.54680E+00   0.00000E+00   0.10000E+01
  27.000   0.000    0.54011E+00   0.00000E+00   0.10000E+01
  28.000   0.000    0.53742E+00   0.00000E+00   0.10000E+01
  29.000   0.000    0.53922E+00   0.00000E+00   0.10000E+01
  30.000   0.000    0.53344E+00   0.00000E+00   0.10000E+01
  31.000   0.000    0.53214E+00   0.00000E+00   0.10000E+01
  32.000   0.000    0.54686E+00   0.00000E+00   0.10000E+01
  33.000   0.000    0.54580E+00   0.00000E+00   0.10000E+01
  34.000   0.000    0.54373E+00   0.00000E+00   0.10000E+01
  35.000   0.000    0.54202E+00   0.00000E+00   0.10000E+01
  36.000   0.000    0.55369E+00   0.00000E+00   0.10000E+01
  37.000   0.000    0.55551E+00   0.00000E+00   0.10000E+01
  38.000   0.000    0.56495E+00   0.00000E+00   0.10000E+01
  39.000   0.000    0.57433E+00   0.00000E+00   0.10000E+01
  40.000   0.000    0.58064E+00   0.00000E+00   0.10000E+01
  41.000   0.000    0.58084E+00   0.00000E+00   0.10000E+01
  42.000   0.000    0.58854E+00   0.00000E+00   0.10000E+01
  43.000   0.000    0.58104E+00   0.00000E+00   0.10000E+01
  44.000   0.000    0.56605E+00   0.00000E+00   0.10000E+01
  45.000   0.000    0.56726E+00   0.00000E+00   0.10000E+01
  46.000   0.000    0.57159E+00   0.00000E+00   0.10000E+01
  47.000   0.000    0.57979E+00   0.00000E+00   0.10000E+01
  48.000   0.000    0.58596E+00   0.00000E+00   0.10000E+01
  49.000   0.000    0.59468E+00   0.00000E+00   0.10000E+01
  50.000   0.000    0.60262E+00   0.00000E+00   0.10000E+01
  51.000   0.000    0.60328E+00   0.00000E+00   0.10000E+01
  52.000   0.000    0.61154E+00   0.00000E+00   0.10000E+01
  53.000   0.000    0.61521E+00   0.00000E+00   0.10000E+01
  54.000   0.000    0.60639E+00   0.00000E+00   0.10000E+01
  55.000   0.000    0.60565E+00   0.00000E+00   0.10000E+01
  56.000   0.000    0.59763E+00   0.00000E+00   0.10000E+01
  57.000   0.000    0.59659E+00   0.00000E+00   0.10000E+01
  58.000   0.000    0.58661E+00   0.00000E+00   0.10000E+01
  59.000   0.000    0.58736E+00   0.00000E+00   0.10000E+01
  60.000   0.000    0.58380E+00   0.00000E+00   0.10000E+01
  61.000   0.000    0.57607E+00   0.00000E+00   0.10000E+01
  62.000   0.000    0.56826E+00   0.00000E+00   0.10000E+01
  63.000   0.000    0.55492E+00   0.00000E+00   0.10000E+01
  64.000   0.000    0.53536E+00   0.00000E+00   0.10000E+01
  65.000   0.000    0.52198E+00   0.00000E+00   0.10000E+01
  66.000   0.000    0.51181E+00   0.00000E+00   0.10000E+01
  67.000   0.000    0.50988E+00   0.00000E+00   0.10000E+01
  68.000   0.000    0.49863E+00   0.00000E+00   0.10000E+01
  69.000   0.000    0.50272E+00   0.00000E+00   0.10000E+01
  70.000   0.000    0.51142E+00   0.00000E+00   0.10000E+01
  71.000   0.000    0.51705E+00   0.00000E+00   0.10000E+01
  72.000   0.000    0.53960E+00   0.00000E+00   0.10000E+01
  73.000   0.000    0.53971E+00   0.00000E+00   0.10000E+01
  74.000   0.000    0.53431E+00   0.00000E+00   0.10000E+01
  75.000   0.000    0.53533E+00   0.00000E+00   0.10000E+01
  76.000   0.000    0.52952E+00   0.00000E+00   0.10000E+01
  77.000   0.000    0.52956E+00   0.00000E+00   0.10000E+01
  78.000   0.000    0.52112E+00   0.00000E+00   0.10000E+01
  79.000   0.000    0.52793E+00   0.00000E+00   0.10000E+01
  80.000   0.000    0.54181E+00   0.00000E+00   0.10000E+01
  81.000   0.000    0.54447E+00   0.00000E+00   0.10000E+01
  82.000   0.000    0.55458E+00   0.00000E+00   0.10000E+01
  83.000   0.000    0.56530E+00   0.00000E+00   0.10000E+01
  84.000   0.000    0.57423E+00   0.00000E+00   0.10000E+01
  85.000   0.000    0.56962E+00   0.00000E+00   0.10000E+01
  86.000   0.000    0.56252E+00   0.00000E+00   0.10000E+01
  87.000   0.000    0.56301E+00   0.00000E+00   0.10000E+01
  88.000   0.000    0.55716E+00   0.00000E+00   0.10000E+01
  89.000   0.000    0.54835E+00   0.00000E+00   0.10000E+01
  90.000   0.000    0.53988E+00   0.00000E+00   0.10000E+01
  91.000   0.000    0.53903E+00   0.00000E+00   0.10000E+01
  92.000   0.000    0.52970E+00   0.00000E+00   0.10000E+01
  93.000   0.000    0.52425E+00   0.00000E+00   0.10000E+01
  94.000   0.000    0.52889E+00   0.00000E+00   0.10000E+01
  95.000   0.000    0.52912E+00   0.00000E+00   0.10000E+01
  96.000   0.000    0.51072E+00   0.00000E+00   0.10000E+01
  97.000   0.000    0.49788E+00   0.00000E+00   0.10000E+01
  98.000   0.000    0.49031E+00   0.00000E+00   0.10000E+01
  99.000   0.000    0.49741E+00   0.00000E+00   0.10000E+01
 100.000   0.000    0.51051E+00   0.00000E+00   0.10000E+01
 101.000   0.000    0.51732E+00   0.00000E+00   0.10000E+01
 102.000   0.000    0.51245E+00   0.00000E+00   0.10000E+01
 103.000   0.000    0.50982E+00   0.00000E+00   0.10000E+01
 104.000   0.000    0.52052E+00   0.00000E+00   0.10000E+01
 105.000   0.000    0.51799E+00   0.00000E+00   0.10000E+01
 106.000   0.000    0.51506E+00   0.00000E+00   0.10000E+01
 107.000   0.000    0.51236E+00   0.00000E+00   0.10000E+01
 108.000   0.000    0.52183E+00   0.00000E+00   0.10000E+01
 109.000   0.000    0.53054E+00   0.00000E+00   0.10000E+01
